compound_id,compound_group,partition,cv_fold
82,aa5ff05e382aca6900a553d6,holdout,-1
83,4bb381a2730aa49d99340475,holdout,-1
84,6dc9e12619d5b5f4c3295212,holdout,-1
85,68c5575091811904f3570473,holdout,-1
86,db6ca16feb506f12191f9ced,development,3
87,45ec44608a80587e6962185c,holdout,-1
88,7c5d2caf2182c8f80629097e,development,1
89,9c94b0fc40a5b55bd6650a67,holdout,-1
90,6f0f80231f7e6657bf51154a,holdout,-1
91,6d9f9870f4d44ecb43c6008e,development,4
92,ad6b380a8fe0471ba1141477,development,2
93,90e4bc93a64c5319da7b3c19,development,3
94,3d4a576c211045dba8bb203c,holdout,-1
95,74e84ef329ad1064a1b82a83,development,4
96,3cf78d38643a00824f675671,development,3
97,962a5e397f9d9d7cd0085c1b,holdout,-1
98,b98d74e7b8c54efd1aed9d66,development,4
99,8b9b7a85e43384ce9dc9d4e5,development,2
100,7a9ff14e405dc4decdd4dd4f,development,0
101,3a06738b335793103289ffb6,development,3
102,aff25fa1ec688ab41c7f5099,development,2
103,fafa20a4901e87c3d213e2c4,development,0
104,3a7529da11b98d32d37eb9b2,development,1
105,446982016973f5fba14f6919,holdout,-1
106,6a14fc3ef083f99a0815d5c0,development,1
107,2ca218591068dc3467fc728a,development,1
108,87974590a2f5c545466b7087,development,2
109,0481944a4fdf636307259eff,development,2
110,adc5767aea5d492900ed03e6,holdout,-1
111,2d61488b67911ce38292f52b,holdout,-1
112,a6e7bc69a760235d4db9e3f8,holdout,-1
113,c135fd0963573003df9035bb,development,3
114,5ab6d54df37caa459c1a457e,development,3
115,1ab7eba89cafc88387549334,development,3
116,9a9b3db558991f39668b2741,development,2
117,1012fb46ebf465147816dc29,development,3
118,6382e37f456a6099a172d19e,development,2
119,c488d0a9a839e2a349774985,development,0
120,2f1f1af3cd5ea42e5867457f,holdout,-1
121,4ed737567275c0296b371cfd,development,4
122,cc95c5a4ab064a9410bb8913,holdout,-1
123,df9a0e32fae5cc2cfdd9bbdf,holdout,-1
124,aa29578ed01a37d051f2f8b7,development,4
125,393bc70fe4e61e2756d84269,holdout,-1
126,36cb44c26190599afeca47f7,holdout,-1
127,c82d14f66c3e52ba2993cd59,holdout,-1
128,ad3b009f5c46951acff42651,development,1
129,1de3e41098dfdbdb2adf0ebb,development,1
130,cb76c9dc3ae475d3cc15b169,development,1
131,cb8f65e269eb26164eb899ea,development,1
132,76675cb970506f4cb7f9b3ef,development,4
133,bcd4d25e30d0907c8a1680f0,development,4
134,a8b1cb2553507696b13260d8,development,4
135,2dbcd2c21100a96deb0fc79b,development,0
136,408988fed87ce8b1bc3d6fd4,holdout,-1
137,4d08869f6c27483a6a997511,development,3
138,fbb6ef4dd8eafc9c107d4009,development,0
139,2cf7f8352a953b94c74c8f49,development,1
140,4dc9a1238a5c5e15ddab6051,development,3
141,0d0b0a46ce9ecd81eed45455,development,4
142,73df76a0ef03defc83aa7151,holdout,-1
143,8911f3588631f37c7617db17,development,2
144,2c5d43f76182fb5235fb9b35,development,3
145,b059278e30a9ae7d8bf4fd90,development,2
146,58130070690af2c368385354,development,0
147,1d7746b0a53dab9391e34d68,development,4
148,1b9952df1d11d663488fce0b,development,2
149,a93b32339ed8311dd7a541ef,development,2
150,47a0e982a5cc29d0694317d1,development,1
151,6b4c549deadd4454deb332d3,development,1
152,bc994c242eeac5db55f81cd1,development,0
153,dd846ae5b622e8b2e6c71cac,development,2
154,f3706234c543da48bc5c0106,development,0
155,8109b130d7942e795d77baa7,development,1
156,3104d8d880d3cd06ac46bd0b,development,0
157,bd2b46e5d8d336def30a4873,development,1
158,3fd88639055c4f90157ae592,development,4
159,7953ee787848eada3b125164,development,3
160,2673245c3e0a30a5c3e96d57,development,0
161,cf53cfefe4d6fe2f0d464145,development,4
162,bbde6b2455ce1854559c6709,development,1
163,bbde6b2455ce1854559c6709,development,1
164,2f5f0ba7541c2228903defab,development,1
165,ea2b62de5e4c4a4dd0b95da6,development,1
166,85cf5990e92211843a2bfe23,development,1
167,616691ac4705d3a9beb6199b,holdout,-1
168,616691ac4705d3a9beb6199b,holdout,-1
169,38aad91045bd921bbb9277ed,development,2
170,17c5451c41ce50a5b92f91d5,development,0
171,198e5fddcc2aa9ebc444b3a6,development,4
172,7f5e8df8b8eb711b7b25801c,development,2
173,ad9f97620dab23d56e68f899,development,2
174,a0df11ab37c188b3740160a6,development,4
175,c910d74e6c15a5b3205df411,development,0
176,e1b34eb9479ceb03b50a90a5,development,0
177,3314004f55d768b9102a7c53,development,0
178,0b4808d603cff090ae6e7e2c,development,0
179,c51c3841863676f35f94e5d9,development,1
180,ecfd08db10e5477f190376da,development,0
181,ae549a3bb89eeba0509b46d1,development,0
182,cde92d2cbf5ae04506b2772e,development,0
183,fc0ff7763485986307ce7100,development,1
184,378e1b4037b2208a390730ed,development,0
185,3d1756396565a85b0e5bfd75,development,3
186,231bee3016cdac10154eb865,development,2
187,ceff63dc913a8d929452b72a,development,0
188,c815242a0e123343d6e3302a,development,2
189,6da8b86316162ba99fec2db6,development,2
190,9f40631b794965aff4da7b4a,development,4
191,133b391bd1d233ca3265cf1b,development,3
192,259a6f088f3ac2981f07e7f1,holdout,-1
193,2f9d6a91601860eeae150557,development,2
194,b8c4be4f866a65acd44b7659,development,3
195,2f3df9eedd2906c14ce0e5d6,development,4
196,2c3353338941a5a1620123ce,development,0
197,0d5124ed7da790065c80a1c7,holdout,-1
198,21c96a0876123a4a80b11e73,development,2
199,c70e593c2e631310bfe805a0,development,3
200,1157dca77a3505f7c3391cf1,development,1
201,a163f7a7711eeffb4a750ec3,development,3
202,f217da90d1070a3bbaec6996,development,3
203,cd59d3604f71cc60f2c12594,development,1
204,1a85d0ca1a72d823b38bd532,holdout,-1
205,349160f21ef26f3bd10c02df,development,4
206,0d9eb3b0a99cf6cda943a473,holdout,-1
207,e126558238eca2d023f43fe8,holdout,-1
208,7e8108e8aa1d6afff73a1bc0,development,2
209,ae21572dff8704af71227db3,development,1
210,f64cb299dc715625ad27bbf2,development,2
211,777595a9cfdca90527f5358e,development,4
212,d69a1a66fdf392a9c7131312,development,1
213,a9ddfab67a2904172e0f1116,development,0
214,c27fe310a5abf32c690a710e,development,4
215,4a4758acbcb6cbd3b156ade0,development,2
216,1ccc85fbc14570d427fc4054,development,1
217,f0be075ce70bbd3bac1c7259,development,2
218,95e26b96bfdbe684ce63928e,holdout,-1
219,0658d6d6c98ecbd57359ccef,development,0
220,d62a7d47244b4b6f5813dc91,development,0
221,b2055287b28edac3e1fa6789,development,1
222,6031d890eca7dc3190572968,development,2
223,a0b2ab35e6b6a3ad3cb8099a,development,2
224,4cccd12bc977cd4d2a471e4a,holdout,-1
225,493b94c3c8c4c9bf713f2445,development,3
226,ae5a55d12ebca06a5f8ce50c,development,0
227,d13130a6033e47d102f8fa76,development,3
228,526db5d548e812e0af002e85,development,3
229,3b65ef9d92c67daf73ca37e7,development,4
230,3d7bd96ca15710fb424119d8,development,2
231,dee02d0f4ba2425984cce9ae,development,4
232,144e67efd6d586547a1449e2,development,2
233,a047c7c3e85649e0405c3ba7,development,1
234,21eea0afa313d3769372de02,development,4
235,6ee9f7ce16b214affda797f4,development,4
236,ecce04dcbcf0122880ef1bc4,development,4
237,fae1b0a30d608d7f0a01c6ee,development,0
238,4a69088acec0c142b3de9690,development,3
239,f8ac8d48882ea0feea3861c4,development,1
240,4fc34b6859ebf93e0c16c141,development,4
241,18623281fc9dce7d70af43e9,development,3
242,9e0901bcee50a2c1f9527fb0,development,2
243,25ddcfd00b9d06444330609f,development,3
244,670b4048ec51c7fd50fc617b,development,2
245,1a63c784a90e7a00bbc469c8,development,1
246,dde8b904e95cd1e872f4f7db,development,2
247,b8b3ad07e5e1039df48e43e6,development,2
248,5a933e414c446e00b391d67e,development,4
249,6f55438546f57416a8693eb4,development,3
250,c757832b2167519e0ac3b967,development,4
251,fa74b4af76ab2c2bfc0004ba,development,2
252,49f72a7b3ba95ce637b7c9ed,development,4
253,2e0625b187eb16887bc48f24,development,3
254,566ffc41d7edae3a1f739741,development,2
255,a5af49fe0879526ee74b1c29,holdout,-1
256,7ab835a888675d8492b11826,development,4
257,6245e73d8777b85805db8d4d,development,0
258,42ba4eb4f3bde44694d1974c,development,4
259,41a0e87121f95316c7969dd8,development,3
260,bc37928db07519700d608f99,development,1
261,7baf7908c42ba7a02322fcd4,development,3
262,229504607349828a36f6f03e,development,1
263,7738c55f945d0df2535c994a,development,2
264,ad56a84d141e631b2b1c6a48,development,2
265,04831b0ea0bfee04fcc4eb27,development,4
266,09fdfb57668810ac2e3b712f,development,0
267,d520bf8d91251ecd00cc4b41,development,4
268,d69eda8667f021413c4a9f83,development,2
269,bb9bb7b52d6200caadb6b6bc,holdout,-1
270,b8c82d904caebcfae94507d9,development,2
271,648bc1f8679a9275b66f6275,development,1
272,7fb8af142894de9d555b9983,development,3
273,ca6cb56c983e5492cd15a656,development,3
274,9b385e5777f6b270736964d8,development,4
275,a3cc9e6104a657c18f86b132,development,0
276,5ed76000041dd1b1241b8d66,holdout,-1
277,1d0a43c80b2575e810c29b2d,development,0
278,7379aff9cd07b6083d7fa843,development,0
279,816a283e181bde8daa1a72ff,holdout,-1
280,bed4536832eee8371b3e89bd,development,0
281,bbda52a9d99ca097c7cfd477,development,3
282,c18e77ce74b9a2e4ab1ae59d,development,1
283,c2eedb24cf5e98af3c88b4c1,development,1
284,6c8bd1deff5bdb9e32c6446d,development,2
285,13cc0dc0c9b50911e5f7c80a,development,1
286,df47194b4bdae24605cf1a6e,development,3
287,ffc7c9996bdbfa5014abddfa,holdout,-1
288,7e5b36b6814240179c082013,holdout,-1
289,cda390bab9032586c013c514,holdout,-1
290,b4432b95902e4e88b42e2066,development,0
291,bb6c0863dd45d3f74e17df3e,development,4
292,bbac126cc8d92fd54c6a702a,holdout,-1
293,8c3e94ba58959e01963ea4a6,holdout,-1
294,d5d831302cba59032cb7c4e8,development,0
295,0a411c9b61631bf103bfed61,development,3
296,5cc22c63bfc2c970da060ca8,development,1
297,a4d13ddf9429ac6f4154b0e3,development,3
298,3de7ab42c33ac1e7e52de4f1,holdout,-1
299,383dd47b78085536cfafc22c,holdout,-1
300,98b5399112d2ffc2aa957c86,development,3
301,a7efe2a12592b5fa953c9862,development,0
302,0cbfc205af64784e06b727c4,development,3
303,fa4fe83161caa77335eb59e7,development,4
304,18c5d30cfe53fd9b8fe0bc36,development,0
305,f039cc991dde96ff61ecc5f6,holdout,-1
306,f295586a0be60255fdd0f3df,development,0
307,e6de4d7bee014e4d0e9cdaa1,development,1
308,848a63cce1a7af67324d67c0,holdout,-1
309,fdc350f6670042f7c9d6d8fb,development,0
310,e3470463507c423eff0abd22,holdout,-1
311,79b4278b8bc0dc2f593cf842,holdout,-1
312,f6706e821cf953202aa4b547,development,2
313,38f5ab75bc43f62a70b6c62f,development,4
314,ba56fb1d6cf7f9574ee506e9,development,1
315,cd7056b6eca3063b70f4417c,holdout,-1
316,7b5da74713d6434883aea4ee,development,4
317,31889a52aaae5d9d746527d9,development,1
318,06988fc4fdd9dc3d80a1d740,holdout,-1
319,f541ec92263c8e96c8d26176,holdout,-1
320,ef8a15c0d2220d2839b1ab33,development,1
321,1380bc3c592cb520da597f09,development,0
322,14812f6f91f22e7ecc6c321a,development,3
323,0875c4610309c2d8522eaa6d,development,0
324,7f819907fc94bc21ac94d32c,holdout,-1
325,b8393da9715f408e65c6f2e3,development,0
326,9140024943d858a024a6c938,development,4
327,a7d3e054979e4201532e2ed0,holdout,-1
328,f23a727fbe1c6f18cb88859c,development,1
329,121fe6ad860793f97f533226,holdout,-1
330,941763538c16ab57ad9d0f47,development,4
331,acb7f133587b4d087f763ec9,development,1
332,a8fee72d826a954e87bca6f7,development,3
333,14b53177e66a60df70f283c4,development,3
334,46a1b6ec730c1d7bd99c0d5a,holdout,-1
335,b41af0d68711add4bcbcb6f5,holdout,-1
336,9a7a2dc286dfaeb87974f4bc,development,4
337,7774acbf550d6a1275a6d824,development,3
338,670fa9eb64d871d2ddb202e3,development,2
339,93316b96717ed8f0b461c8fc,development,2
340,252e47c2ee331e80cc378cb2,development,1
341,fd86179619e5229f724d31d3,development,2
342,6b29c617174b313bf63cc277,development,2
343,7c12ac7b2bd72496482aae18,holdout,-1
